category,key,source_text,english,tagalog,notes
dialogue,dialogue.apo_yung_bagyong_paparating_mag_ingat_ka_ha.b631e0dd,Apo yung bagyong paparating mag-ingat ka ha.,"The storm is coming, grandchild. Please be careful.","Apo may bagyong paparating, mag-ingat ka ha.",
dialogue,dialogue.opo_lola.7b4fafe8,Opo Lola.,"Yes, Lola.",Opo Lola.,
dialogue,dialogue.mabuti_naman_pero_yung_b_gamot_b_ko_huwag_mo_kal.c48ad0a3,Mabuti naman. Pero yung [b]gamot[/b] ko huwag mo kalimutan yung sa [b]botika[/b] ha. ,Good. But please do not forget my [b]medicine[/b] from the [b]pharmacy[/b]. ,Mabuti naman. Pero yung [b]gamot[/b] ko huwag mo kalimutan yung sa [b]botika[/b] ha. ,Preserve BBCode tags.
dialogue,dialogue.pag_walang_gamot_mahihirapan_ako_pasensya_na_apo.beef32b6,"Pag walang gamot, mahihirapan ako. Pasensya na apo. ","Without medicine, I will struggle. I'm sorry, grandchild. ","Pag walang gamot, mahihirapan ako. Pasensya na apo. ",
dialogue,dialogue.kailangan_ni_lola_ang_b_gamot_b_kailangan_ko_pum.09f4c2a6,Kailangan ni Lola ang [b]gamot[/b]. Kailangan ko pumunta ng [b]botika[/b].,Lola needs [b]medicine[/b]. I need to go to the [b]pharmacy[/b].,Kailangan ni Lola ang [b]gamot[/b]. Kailangan ko pumunta ng [b]botika[/b].,Preserve BBCode tags.
dialogue,dialogue.sige_na_apo_pakilagay_na_lang_sa_b_drawer_sa_hig.7aed8a24,"Sige na apo, pakilagay na lang sa [b]drawer sa higaan[/b] yung aking [b]gamot[/b]. ","Alright, grandchild. Please put my [b]medicine[/b] in the [b]bedside drawer[/b]. ","Sige na apo, pakilagay na lang sa [b]drawer sa higaan[/b] yung aking [b]gamot[/b]. ",Preserve BBCode tags.
dialogue,dialogue.yung_b_gamot_b_huwag_mong_kalimutan_apo_i_mahala.ac35a934,"Yung [b]gamot[/b], huwag mong kalimutan apo. [i]Mahalaga yun sa akin.[/i]","Please do not forget the [b]medicine[/b], grandchild. [i]It is important to me.[/i]","Yung [b]gamot[/b], huwag mong kalimutan apo. [i]Mahalaga yun sa akin.[/i]",Preserve BBCode tags.
dialogue,dialogue.pag_umulan_nang_malakas_at_walang_b_panakip_sa_k.125e97f6,Pag umulan nang malakas at walang [b]panakip sa kisame[/b]... [i]basa lahat tayo dito.[/i] ,If the rain gets heavy and there is no [b]cover for the ceiling[/b]... [i]we will all get soaked in here.[/i] ,Pag umulan nang malakas at walang [b]panakip sa kisame[/b]... [i]basa lahat tayo dito.[/i] ,Preserve BBCode tags.
dialogue,dialogue.sabi_ni_nanay_wala_tayong_b_pagkain_b_para_bukas.c4e1e132,"Sabi ni Nanay, wala tayong [b]pagkain[/b] para bukas. Kailangan kahit [b]de lata[/b].",Nanay said we have no [b]food[/b] for tomorrow. We need at least [b]canned goods[/b].,"Sabi ni Nanay, wala tayong [b]pagkain[/b] para bukas. Kailangan kahit [b]de lata[/b].",Preserve BBCode tags.
ui,ui.mabuti_na_nandito_na_tayo_dasal_lang_tayo_ngayon.2e7307ec,Mabuti na. Nandito na tayo. Dasal lang tayo ngayon.,Good. We are here now. All we can do is pray.,Mabuti na. Nandito na tayo. Dasal lang tayo ngayon.,
dialogue,dialogue.oh_iho_ano_ang_iyong_mga_kailangan.03294a2c,"Oh, iho, ano ang iyong mga kailangan?","Oh, boy, what do you need?","Oh, iho, ano ang iyong mga kailangan?",
dialogue,dialogue.pasensya_na_at_nagtataas_ako_ng_presyo_nagkakaub.281dbec0,"Pasensya na at nagtataas ako ng presyo, nagkakaubusan na kasi ngayon ng [b]supplies[/b].",Sorry for raising prices. [b]Supplies[/b] are running out now.,"Pasensya na at nagtataas ako ng presyo, nagkakaubusan na kasi ngayon ng [b]supplies[/b].",Preserve BBCode tags.
ui,ui.ano_ho_yun.977cc03c,Ano ho yun?,What is it?,Ano ho yun?,
ui,ui.bibili_po_sana_ako_hehe_bukas_po_ba_kayo.79b63965,bibili po sana ako hehe... bukas po ba kayo?,I was hoping to buy something... are you still open?,bibili po sana ako hehe... bukas po ba kayo?,
dialogue,dialogue.oo_iho_pili_ka_lang.3a594935,Oo iho pili ka lang,"Yes, boy, just choose what you need.",Oo iho pili ka lang,
dialogue,dialogue.bili_na_kayo_at_magsasara_na_ako_halos_naubos_na.a3a8ed3a,"Bili na kayo, at magsasara na ako. Halos naubos na lahat ni Kapitan ang mga [b]supplies[/b].","Buy now, because I am closing soon. The Captain has almost emptied all the [b]supplies[/b].","Bili na kayo, at magsasara na ako. Halos naubos na lahat ni Kapitan ang mga [b]supplies[/b].",Preserve BBCode tags.
ui,ui.ikaw_ulit.0f593589,Ikaw ulit?!!,You again?!!,Ikaw ulit?!!,
dialogue,dialogue.pero_i_check_mo_sa_una_unahan_baka_ay_mayroon_pa.d2306c16,Pero i-check mo sa una unahan baka ay mayroon pa tira-tirang [b]plywood[/b] doon.,But check near the front. There might still be some leftover [b]plywood[/b] there.,Pero i-check mo sa una unahan baka ay mayroon pa tira-tirang [b]plywood[/b] doon.,Preserve BBCode tags.
dialogue,dialogue.oh_ano_mga_kailangan_mo_bilis_may_bagyo_na_papar.d9cc524e,"Oh, ano mga kailangan mo? Bilis, may bagyo na paparating at magsasara na ang [b]grocery[/b].","What do you need? Hurry, a storm is coming and the [b]grocery[/b] will close soon.","Oh, ano mga kailangan mo? Bilis, may bagyo na paparating at magsasara na ang [b]grocery[/b].",Preserve BBCode tags.
ui,ui.ate_linda_nagtatrabaho_karin_pala_sa_hardware_pa.bcb0e7c7,Ate Linda?? Nagtatrabaho karin pala sa hardware? Paano ka po nakarating dito?!,Ate Linda?? You work at the hardware store too? How did you get here?!,Ate Linda?? Nagtatrabaho karin pala sa hardware? Paano ka po nakarating dito?!,
ui,ui.sinong_ate_linda_kita_mo_nag_tatrabaho_ako_dito.3ddd7805,Sinong Ate Linda?! kita mo nag tatrabaho ako dito!,Who is Ate Linda?! Can't you see I work here?,Sinong Ate Linda?! kita mo nag tatrabaho ako dito!,
dialogue,dialogue.ano_po_ang_inyong_kailangan_mabuti_at_naabutan_n.b68fa919,Ano po ang inyong kailangan? Mabuti at naabutan niyo pa ang [b]botika[/b] na bukas.,What do you need? Good thing you reached the [b]pharmacy[/b] while it is still open.,Ano po ang inyong kailangan? Mabuti at naabutan niyo pa ang [b]botika[/b] na bukas.,Preserve BBCode tags.
dialogue,dialogue.ano_pa_hinihintay_mo_iho_bili_na_ng_aming_malina.7f19f19f,"Ano pa hinihintay mo iho, bili na ng aming malinamnam na manok!","What are you waiting for, boy? Buy our delicious chicken!","Ano pa hinihintay mo iho, bili na ng aming malinamnam na manok!",
ui,ui.siguradong_mabubusog_ka_dito_promise.d4da11d8,"Siguradong mabubusog ka dito, promise!","This will definitely fill you up, promise!","Siguradong mabubusog ka dito, promise!",
ui,ui.vic_sotto.103e430c,VIC SOTTO?!?!,VIC SOTTO?!?!,VIC SOTTO?!?!,
ui,ui.hi_hello_heeello.16d29364,hi hello heeello,"Hi, hello, hellooo.","Hi, hello, hellooo.",
ui,ui.yes_hola.bc756ba9,yes hola?,"Yes, hello?","Yes, hello?",
ui,ui.wala_man_hehe.c4abb494,wala man hehe,"Nothing, hehe.","Wala naman, hehe.",
ui,ui.miss_ko_na_kasi_siya.a5c46410,Miss ko na kasi siya...,I just miss them...,Miss ko na kasi siya...,
ui,ui.signal_3_na_magiging_signal_4_sa_loob_ng_sampung.c64aa9b9,Signal 3 na. Magiging Signal 4 sa loob ng sampung oras. Wala tayong panahon.,It is Signal 3 now. It will become Signal 4 within ten hours. We do not have time.,Signal 3 na. Magiging Signal 4 sa loob ng sampung oras. Wala tayong panahon.,
ui,ui.kailangan_ko_muna_ng_supplies.f5594945,Kailangan ko muna ng supplies.,I need supplies first.,Kailangan ko muna ng supplies.,
ui,ui.pwede_ko_na_to_ayusin.51214723,Pwede ko na to ayusin.,I can fix this now.,Pwede ko na to ayusin.,
ui,ui.naayos_ko_na_ito.aa3767f2,Naayos ko na ito.,I fixed this.,Naayos ko na ito.,
dialogue,dialogue.hindi_pa_namin_naayos_yung_nasirang_b_bubong_b_n.dcd64c9b,Hindi pa namin naayos yung nasirang [b]bubong[/b] noong nakaraang bagyo.,We still have not fixed the [b]roof[/b] damaged by the last storm.,Hindi pa namin naayos yung nasirang [b]bubong[/b] noong nakaraang bagyo.,Preserve BBCode tags.
dialogue,dialogue.i_mahirap_ito_kung_hindi_takpan_i.c7ab42b3,[i]Mahirap ito kung hindi takpan.[/i],[i]This will be difficult if it is not covered.[/i],[i]Mahirap ito kung hindi takpan.[/i],Preserve BBCode tags.
dialogue,dialogue.kailangan_ko_ng_b_tarp_b_b_pako_b_at_b_martilyo_.40bd46c4,"Kailangan ko ng [b]tarp[/b], [b]pako[/b], at [b]martilyo[/b] para maayos ito.","I need a [b]tarp[/b], [b]nails[/b], and a [b]hammer[/b] to fix this.","Kailangan ko ng [b]tarp[/b], [b]pako[/b], at [b]martilyo[/b] para maayos ito.",Preserve BBCode tags.
dialogue,dialogue.naayos_ko_na_ang_bubong_mabuti_naman_at_hindi_na.a8032f44,"Naayos ko na ang bubong, mabuti naman at hindi na kami mababasa, sana kumapit ito.","I fixed the roof. Good, we should not get wet now. I hope it holds.","Naayos ko na ang bubong, mabuti naman at hindi na kami mababasa, sana kumapit ito.",
dialogue,dialogue.lalakas_ang_hangin_mamaya_kailangan_ko_b_takpan_.417d14b2,"Lalakas ang hangin mamaya, kailangan ko [b]takpan ang bintana[/b].",The wind will get stronger later. I need to [b]board up the window[/b].,"Lalakas ang hangin mamaya, kailangan ko [b]takpan ang bintana[/b].",Preserve BBCode tags.
dialogue,dialogue.lalakas_ang_hangin_mamaya_kailangan_ko_b_takpan_.608ce836,"Lalakas ang hangin mamaya, kailangan ko [b]takpan itong bintana[/b].",The wind will get stronger later. I need to [b]board up this window[/b].,"Lalakas ang hangin mamaya, kailangan ko [b]takpan itong bintana[/b].",Preserve BBCode tags.
dialogue,dialogue.kailangan_ko_ng_b_plywood_b_b_pako_b_at_b_martil.8e0525a5,"Kailangan ko ng [b]plywood[/b], [b]pako[/b], at [b]martilyo[/b]. Nasaan na kaya yung martilyo ni Papa?","I need [b]plywood[/b], [b]nails[/b], and a [b]hammer[/b]. Where could Papa's hammer be?","Kailangan ko ng [b]plywood[/b], [b]pako[/b], at [b]martilyo[/b]. Nasaan na kaya yung martilyo ni Papa?",Preserve BBCode tags.
dialogue,dialogue.kumpleto_na_mga_kailangan_ko_matatakpan_ko_na_it.ffbeae3b,"Kumpleto na mga kailangan ko, matatakpan ko na itong [b]bintana[/b].",I have everything I need. I can board up this [b]window[/b] now.,"Kumpleto na mga kailangan ko, matatakpan ko na itong [b]bintana[/b].",Preserve BBCode tags.
dialogue,dialogue.natakpan_ko_na_bintana_sana_kumapit_ito_hanggang.10c52aaa,"Natakpan ko na bintana, sana kumapit ito hanggang sa matapos ang bagyo.",I boarded up the window. I hope it holds until the storm is over.,"Natakpan ko na bintana, sana kumapit ito hanggang sa matapos ang bagyo.",
dialogue,dialogue.wala_pa_ring_pagkain_kailangan_ng_kahit_b_apat_n.26de96bd,"Wala pa ring pagkain. Kailangan ng kahit [b]apat na de lata[/b] — para kay Nanay, Lola, Bunso, at ako.","There is still no food. We need at least [b]four canned goods[/b] for Nanay, Lola, Bunso, and me.","Wala pa ring pagkain. Kailangan ng kahit [b]apat na de lata[/b] — para kay Nanay, Lola, Bunso, at ako.",Preserve BBCode tags.
dialogue,dialogue.unahin_ko_dapat_ang_b_palengke_b_kung_kaya_pa_ma.c44f7fc3,"Unahin ko dapat ang [b]palengke[/b] kung kaya pa. Mas mura doon, pero mabilis magsara kapag tumaas ang baha.","I should go to the [b]market[/b] first if I still can. It is cheaper there, but it closes quickly when the flood rises.","Unahin ko dapat ang [b]palengke[/b] kung kaya pa. Mas mura doon, pero mabilis magsara kapag tumaas ang baha.",Preserve BBCode tags.
dialogue,dialogue.kung_huli_na_ako_pwede_pa_kay_b_ate_linda_b_mas_.548cc61d,"Kung huli na ako, pwede pa kay [b]Ate Linda[/b] — mas mahal, pero mas malapit.","If I am too late, I can still go to [b]Ate Linda[/b]. It is more expensive, but closer.","Kung huli na ako, pwede pa kay [b]Ate Linda[/b] — mas mahal, pero mas malapit.",Preserve BBCode tags.
dialogue,dialogue.sapat_na_ito_ilalagay_ko_na_sa_b_ref_b_para_mada.057d893f,Sapat na ito. Ilalagay ko na sa [b]ref[/b] para madali makuha kapag kailangan.,This is enough. I will put it in the [b]fridge[/b] so it is easy to get when needed.,Sapat na ito. Ilalagay ko na sa [b]ref[/b] para madali makuha kapag kailangan.,Preserve BBCode tags.
dialogue,dialogue.okay_na_ang_pagkain_hindi_kami_magugutom_sa_loob.458af0c7,Okay na ang pagkain. Hindi kami magugutom sa loob ng bagyo.,The food is ready. We will not go hungry during the storm.,Okay na ang pagkain. Hindi kami magugutom sa loob ng bagyo.,
dialogue,dialogue.nako_nasira_itong_b_lababo_b_namin_kailangan_ko_.80a52a44,"Nako, nasira itong [b]lababo[/b] namin, kailangan ko ng [b]wrench[/b] para maayos ito.","Oh no, our [b]sink[/b] is broken. I need a [b]wrench[/b] to fix it.","Nako, nasira itong [b]lababo[/b] namin, kailangan ko ng [b]wrench[/b] para maayos ito.",Preserve BBCode tags.
dialogue,dialogue.kailangan_ko_din_ng_b_water_jug_b_para_may_tubig.38fb543e,Kailangan ko din ng [b]water jug[/b] para may tubig kami sa bagyo.,I also need a [b]water jug[/b] so we have water during the storm.,Kailangan ko din ng [b]water jug[/b] para may tubig kami sa bagyo.,Preserve BBCode tags.
dialogue,dialogue.maayos_ko_na_ang_b_lababo_b_pupunuin_ko_na_rin_a.fb20d583,"Maayos ko na ang [b]lababo[/b], pupunuin ko na rin ang [b]water jug[/b].",I can fix the [b]sink[/b] now and fill the [b]water jug[/b].,"Maayos ko na ang [b]lababo[/b], pupunuin ko na rin ang [b]water jug[/b].",Preserve BBCode tags.
task,task.maayos_na_lababo_nalagyan_ko_narin_ang_water_jug.7006d54d,"Maayos na lababo, nalagyan ko narin ang water jug ng tubig.","The sink is fixed, and I filled the water jug.","Maayos na lababo, nalagyan ko narin ang water jug ng tubig.",
dialogue,dialogue.yung_b_radyo_b_nasaan_na_kaya.dcc52177,"Yung [b]radyo[/b], nasaan na kaya...",Where could the [b]radio[/b] be...,"Yung [b]radyo[/b], nasaan na kaya...",Preserve BBCode tags.
dialogue,dialogue.kailangan_ko_muna_b_ayusin_ang_radyo_b_bago_ko_i.2dd3fecc,Kailangan ko muna [b]ayusin ang radyo[/b] bago ko ito ilagay dito.,I need to [b]fix the radio[/b] before I place it here.,Kailangan ko muna [b]ayusin ang radyo[/b] bago ko ito ilagay dito.,Preserve BBCode tags.
dialogue,dialogue.maayos_na_itong_b_radyo_b_ilalagay_ko_muna_ito_d.a8a85779,"Maayos na itong [b]radyo[/b], ilalagay ko muna ito dito.",The [b]radio[/b] works now. I will place it here.,"Maayos na itong [b]radyo[/b], ilalagay ko muna ito dito.",Preserve BBCode tags.
dialogue,dialogue.may_radyo_na_kami_makakakuha_na_kami_ng_balita_k.1ebaad6c,"May radyo na kami, makakakuha na kami ng balita kahit may bagyo.",We have a radio now. We can still get news during the storm.,"May radyo na kami, makakakuha na kami ng balita kahit may bagyo.",
dialogue,dialogue.yung_b_radyo_b_at_b_flashlight_b_nasaan_na_kaya.60d16e6e,"Yung [b]radyo[/b] at [b]flashlight[/b], nasaan na kaya...",Where could the [b]radio[/b] and [b]flashlight[/b] be...,"Yung [b]radyo[/b] at [b]flashlight[/b], nasaan na kaya...",Preserve BBCode tags.
dialogue,dialogue.kailangan_ko_muna_b_ayusin_ang_radyo_at_flashlig.a929dda3,Kailangan ko muna [b]ayusin ang radyo at flashlight[/b] para malagay ko dito.,I need to [b]fix the radio and flashlight[/b] before placing them here.,Kailangan ko muna [b]ayusin ang radyo at flashlight[/b] para malagay ko dito.,Preserve BBCode tags.
dialogue,dialogue.maayos_na_itong_b_radyo_b_at_b_flashlight_b_ilal.d2bf1553,"Maayos na itong [b]radyo[/b] at [b]flashlight[/b], ilalagay ko muna ito dito.",The [b]radio[/b] and [b]flashlight[/b] work now. I will place them here.,"Maayos na itong [b]radyo[/b] at [b]flashlight[/b], ilalagay ko muna ito dito.",Preserve BBCode tags.
item,item.mabuti_din_na_may_flashlight_baka_biglang_mawala.c1ba0634,"Mabuti din na may flashlight, baka biglang mawalan ng kuryente.","It is good to have a flashlight too, in case the power goes out.","Mabuti din na may flashlight, baka biglang mawalan ng kuryente.",
dialogue,dialogue.kailangan_ko_muna_bumili_sa_b_botika_b_ng_b_gamo.6a6ebd22,Kailangan ko muna bumili sa [b]botika[/b] ng [b]gamot ni Lola[/b].,I need to buy [b]Lola's medicine[/b] from the [b]pharmacy[/b] first.,Kailangan ko muna bumili sa [b]botika[/b] ng [b]gamot ni Lola[/b].,Preserve BBCode tags.
dialogue,dialogue.nabili_ko_na_yung_b_gamot_b_mabuti_naman.15dc11dc,"Nabili ko na yung [b]gamot[/b], mabuti naman.",I bought the [b]medicine[/b]. Good.,"Nabili ko na yung [b]gamot[/b], mabuti naman.",Preserve BBCode tags.
dialogue,dialogue.meron_na_gamot_si_lola.4dedf8c4,Meron na gamot si lola.,Lola has medicine now.,Meron na gamot si lola.,
ui,ui.mga_lumang_larawan_namin.ff96c88a,Mga lumang larawan namin...,Our old photos...,Mga lumang larawan namin...,
ui,ui.kamusta_na_kaya_si_papa_sa_trabaho_niya.37ead094,Kamusta na kaya si papa sa trabaho niya...,I wonder how Papa is doing at work...,Kamusta na kaya si papa sa trabaho niya...,
item,item.gas_pa_naman_pero_pag_nawalan_ng_kandila_o_flash.5b0df170,"Gas pa naman — pero pag nawalan ng kandila o flashlight, wag nating gamitin 'to sa dilim. Delikado.","There is still gas, but if we lose candles or the flashlight, we should not use this in the dark. It is dangerous.","Gas pa naman — pero pag nawalan ng kandila o flashlight, wag nating gamitin 'to sa dilim. Delikado.",
ui,ui.mahal_na_ang_mga_bilihin.a3338d32,Mahal na ang mga bilihin,Goods are expensive now.,Mahal na ang mga bilihin,
ui,ui.lahat_ng_ito_order_ni_kap.1ea9ad6d,Lahat ng ito order ni kap?,The Captain ordered all of this?,Lahat ng ito order ni kap?,
ui,ui.hindi_man_lang_siya_nag_tira_para_saaming_taumba.f46b6d01,Hindi man lang siya nag tira para saaming taumbayan?,He did not even leave any for the townspeople?,Hindi man lang siya nag tira para saaming taumbayan?,
ui,ui.paubos_na_nga_ang_mga_bilihin.f1f38112,Paubos na nga ang mga bilihin...,The supplies are already running out...,Paubos na nga ang mga bilihin...,
shop,shop.buti_naabutan_ko_pa_na_bukas_itong_hardware_stor.2d85b988,Buti naabutan ko pa na bukas itong hardware store.,Good thing I reached this hardware store while it is still open.,Buti naabutan ko pa na bukas itong hardware store.,
dialogue,dialogue.pwede_ko_itong_magamit_sa_b_flashlight_b_o_b_rad.2caa5585,Pwede ko itong magamit sa [b]flashlight[/b] o [b]radyo[/b].,I can use this for the [b]flashlight[/b] or [b]radio[/b].,Pwede ko itong magamit sa [b]flashlight[/b] o [b]radyo[/b].,Preserve BBCode tags.
dialogue,dialogue.kulang_ito_ng_b_baterya_b_i_sayang_makikinig_pa_.7e29fd15,"Kulang ito ng [b]baterya[/b]... [i]Sayang, makikinig pa naman sana ako.[/i]","This needs a [b]battery[/b]... [i]Too bad, I was hoping to listen to it.[/i]","Kulang ito ng [b]baterya[/b]... [i]Sayang, makikinig pa naman sana ako.[/i]",Preserve BBCode tags.
dialogue,dialogue.ayaw_bumukas_ng_b_flashlight_b.771574fe,Ayaw bumukas ng [b]flashlight[/b]...,The [b]flashlight[/b] will not turn on...,Ayaw bumukas ng [b]flashlight[/b]...,Preserve BBCode tags.
dialogue,dialogue.siguro_kailangan_nito_ng_b_baterya_b.8194ff6a,Siguro kailangan nito ng [b]baterya[/b].,Maybe it needs a [b]battery[/b].,Siguro kailangan nito ng [b]baterya[/b].,Preserve BBCode tags.
dialogue,dialogue.bagong_b_baterya_b_pwede_ito_sa_b_flashlight_b_o.b8ca667a,Bagong [b]baterya[/b]. Pwede ito sa [b]flashlight[/b] o [b]radyo[/b].,Fresh [b]batteries[/b]. These can be used for the [b]flashlight[/b] or [b]radio[/b].,Bagong [b]baterya[/b]. Pwede ito sa [b]flashlight[/b] o [b]radyo[/b].,Preserve BBCode tags.
dialogue,dialogue.yung_b_martilyo_b_ni_tatay.02f6f668,Yung [b]martilyo[/b] ni Tatay.,Tatay's [b]hammer[/b].,Yung [b]martilyo[/b] ni Tatay.,Preserve BBCode tags.
dialogue,dialogue.i_mabuti_nandito_pa_i.8468a354,[i]Mabuti nandito pa.[/i],"[i]Good, it is still here.[/i]",[i]Mabuti nandito pa.[/i],Preserve BBCode tags.
dialogue,dialogue.magagamit_ko_ito_sa_b_bubong_b_at_b_bintana_b.64416fe3,Magagamit ko ito sa [b]bubong[/b] at [b]bintana[/b].,I can use this on the [b]roof[/b] and [b]window[/b].,Magagamit ko ito sa [b]bubong[/b] at [b]bintana[/b].,Preserve BBCode tags.
dialogue,dialogue.mga_b_pako_b.81816768,Mga [b]pako[/b]...,Some [b]nails[/b]...,Mga [b]pako[/b]...,Preserve BBCode tags.
dialogue,dialogue.kailangan_ito_sa_b_bubong_b_at_b_bintana_b.657cf8dd,Kailangan ito sa [b]bubong[/b] at [b]bintana[/b].,These are needed for the [b]roof[/b] and [b]window[/b].,Kailangan ito sa [b]bubong[/b] at [b]bintana[/b].,Preserve BBCode tags.
dialogue,dialogue.tira_tirang_b_plywood_b_magagamit_ko_ito_sa_b_bi.b05302f8,Tira-tirang [b]plywood[/b]. Magagamit ko ito sa [b]bintana[/b].,Leftover [b]plywood[/b]. I can use this on the [b]window[/b].,Tira-tirang [b]plywood[/b]. Magagamit ko ito sa [b]bintana[/b].,Preserve BBCode tags.
dialogue,dialogue.mga_b_water_jug_b_walang_laman.2aeabb56,Mga [b]water jug[/b] — walang laman.,"Some [b]water jugs[/b], empty.",Mga [b]water jug[/b] — walang laman.,Preserve BBCode tags.
dialogue,dialogue.puwede_ko_itong_punuin_sa_b_gripo_b.e2a24339,Puwede ko itong punuin sa [b]gripo[/b].,I can fill these at the [b]faucet[/b].,Puwede ko itong punuin sa [b]gripo[/b].,Preserve BBCode tags.
dialogue,dialogue.i_libre_pa_i.5e3b1add,[i]Libre pa.[/i],[i]And it is free.[/i],[i]Libre pa.[/i],Preserve BBCode tags.
